[-7.0, -6.5]
[-6.109034561077915, -5.60181370204203]
[-4.837803942511882, -6.444536370922244]
[-6.306967944318654, -6.656412672213695]
[-6.3256960394723185, -6.73448531399279]
[-6.387559468860386, -6.689083364835503]
[-7.146989454109766, -5.878308823957986]
[-5.148125269025304, -6.775929326210503]
[-5.599321077059344, -7.5309689704211715]
[-7.694877171514684, -4.3929358391653235]
[-6.103608246120518, -5.607627063053055]
[-6.035230700871374, -7.289019766488367]
[-6.34513033138834, -6.533088299493574]
[-4.9110143707172735, -6.4974103821834]
[-6.3750963738336015, -6.776186153273588]
[-8.62752072492075, -5.607535757658268]
[-4.427880414175363, -6.348307651555301]
[-7.635676196646337, -4.480502946407437]
[-5.377765938281818, -5.521464346815889]
[-4.517273327219665, -6.253615361042194]
[-4.61102891109455, -6.124070312022747]
[-5.455800911225322, -6.160952961305934]
[-4.64423921053171, -6.127801383654282]
[-7.097320617783114, -3.360146391431379]
[-6.693267588532874, -1.698540800735391]
[-8.048709722114365, -1.2719239537413298]
[-7.822234993377125, -0.9939128308684513]
[-5.391557160173479, -5.7901902132371825]
[-5.684535329147625, -2.7245825782708826]
[-7.474650646839323, -0.5800272787441448]
[-7.041288700432798, 0.5478853942050724]
[-6.879868964240772, 2.059089872011191]
[-8.291627534618708, 2.640995641888363]
[-8.122620471776694, 1.9361487674388065]
[-5.6890244800056955, -2.0945693782275296]
[-6.757446701568687, -3.4618908996785076]
[-8.536377588979821, 3.324466686398057]
[-6.488082239839596, 1.7600690948353908]
[-5.944654947816626, -0.21243475842074305]
[-6.3464204226406915, 1.6309755369786523]
[-5.67866495765438, -2.0941944951335123]
[-6.117695133319668, 0.19458286073122477]
[-5.267871056779299, -0.6805662821152885]
[-8.374258633311294, -1.0633893066920979]
[-5.610607393193045, -1.1937793119842568]
[-6.481916758031213, 2.356127010146655]
[-5.533254115285994, 1.2990772985310044]
[-6.257912389287546, 2.0812606512018204]
[-5.428587408575679, -3.6701228713974863]
[-7.1446447574950565, 3.782473748179243]
[-7.789577558601893, -3.4616986129434753]
[-5.602278273578855, -5.634885160199284]
[-4.701321821375897, -6.288080654710892]
[-5.419612804227566, -3.6861032510459806]
[-7.140896818436347, 3.250562070661374]
[-7.977729399718711, -7.461162500434013]
[-6.550107893100576, 2.355670140296212]
[-4.681166536277919, -1.0681983685522334]
[-5.4972144654769615, -1.2712740375066205]
[-6.6895004878295845, -1.695123808764143]
[-4.464795744139617, 1.7097372199462795]
[-6.097462153731881, -0.6243167535197003]
[-8.955003843550145, -6.963690323919221]
[-5.747694690792319, -1.660721293886974]
[-4.677588306033598, 0.21131401414390144]
[-3.680813000216107, 0.32402635882266806]
[-4.968663898530956, 1.5156096175908282]
[-5.604535082186261, 1.904882447979587]
[-4.977091452523668, 3.042765162913091]
[-7.74595030811352, 2.182883128825908]
[-8.25689764554925, -1.7130518479478383]
[-5.489378400543856, -3.8718544595280604]
[-7.899915852911978, 4.523625529004133]
[-5.699814237547417, -5.682018047419315]
[-6.230705036777978, -0.9469337921220707]
[-2.4623584860217402, 1.2363949052508898]
[-6.117455577962471, -4.9528383043589645]
[-2.432295203604165, 1.2596544288263414]
[-4.637374249812169, -6.639595251075248]
[-6.077571746388962, -2.171713534383848]
[-4.8728286629321, 0.36366159031882694]
[-0.7840532249128402, 1.4826149343985826]
[-3.013840486637949, 1.1350589430224702]
[-1.9070237636628848, 0.4930421432221163]
[-5.638204647065816, -5.0861404442291445]
[-4.242080161402416, 4.4170188432215225]
[-6.986675413004803, 1.0638357520412154]
[-7.32753432948393, -4.849897292888022]
[-2.202949550084795, 2.005276675966802]
[-7.07611679893931, -4.701674982567001]
[-5.9760703472754315, -5.145821217118744]
[-4.649104881450997, -4.621435612513229]
[-4.828673244997888, -3.238129452870671]
[-0.11101437952144345, 2.7029412135365094]
[-1.6250935964170046, 2.725439202663695]
[-4.636964198801915, -2.567668466868127]
[-2.2181898834806413, 1.343681168215601]
[-3.8817677104085835, -0.15273884517455033]
[0.8484215116218518, 2.6550845814499]
[-9.102414101427094, -6.945854711906237]
[-0.005964453697539595, 1.5574249502490158]
[-5.680495891951339, 0.5935080714884385]
[-5.225841011607305, -3.167933523628133]
[-2.683700024339238, 2.1394702947774435]
[-6.9422234693134595, 2.2825189309676994]
[-8.83916304435968, 3.2199148757320586]
[-7.068012934554775, -0.19850687227551234]
[1.048803184404528, 2.6879268029271355]
[-0.13243068000506808, 2.8322483301346235]
[0.6692091782518983, 0.21988234959390296]
[-1.1276313192604905, 3.188929570087002]
[-4.205145928479477, 4.379586840629102]
[-5.07502205927514, -6.259214136608754]
[-4.242332383989501, 4.417508588129836]
[-7.88107655564309, 5.160131219949913]
[-0.4384711456141372, -0.7679623807337415]
[0.9263507660072094, 0.4747125474293601]
[-0.5960847838119535, 0.3673458661028569]
[-0.8180371712743253, 0.7025750858887785]
[0.9499641136690705, -0.06595752146613752]
[-2.0088916238713757, 0.6424388822591058]
[-3.4604365236588186, 1.8703733503750533]
[-0.19798276220396263, 2.795365360753459]
[-0.07121294859171183, 3.0120568334466316]
[0.0388767585613037, 1.1531617716112306]
[-0.1472041086287416, -0.5064583733382773]
[-5.319906751963364, -5.624764572974203]
[-0.17814492065591234, -0.3767756383834977]
[-5.165883215915511, -7.219548753223816]
[-0.8973249406176161, 2.7600748764298837]
[-0.6236024345771338, -0.012510453826312624]
[-4.861939608175589, 5.925298737851351]
[-2.8910267436107846, 1.2808106571637017]
[-6.606284706053439, 5.95666039753899]
[-0.12848971086774222, 1.6890915172305048]
[-5.404404198636532, 1.7621061513540017]
[-5.638572338430682, 6.585976629101894]
[-4.851207026347516, 1.4078880719207143]
[0.19402552367440967, -1.0486924139863476]
[-7.058937361607492, -0.1894641103646794]
[-7.3110424096341555, -2.010249339708829]
[-3.4420681603794865, 0.4811992171595152]
[-5.418646862048712, -5.945248027762632]
[0.3062743954314914, 4.155630572659672]
[-5.7430452716373255, 1.3028377014404353]
[-4.424307958087895, 5.92273136971229]
[-1.7792167910074799, 0.8710202823618886]
[-5.713337724193304, -3.244259668778879]
[-7.786751154801935, -6.353342682665543]
[-2.7430131515077543, 0.7881470016314814]
[0.9410358029671356, -0.06436914584736066]
[-5.603729235658491, 1.7657083665076234]
[-2.806165299416073, 1.5820810306643933]
[-1.7986466083232278, 1.8046361186453888]
[0.89091514299296, -2.5280738638651026]
[0.020252551340252573, -2.49163926976587]
[-7.587076499695692, 2.488080369874565]
[-0.18070313912663682, -3.675562294662426]
[1.6824742903417975, -1.1506072269828331]
[-5.536745988744025, -3.7180056250641558]
[-8.993384699363547, 4.942219535801203]
[-3.0549685770283768, 1.1733165406183619]
[-2.0777762032200227, 1.0807472171536612]
[-2.857831199420059, 3.8372547171252354]
[0.635042059078617, 2.598958891131224]
[-7.075151795754728, 0.7435097211533662]
[-5.899868327972392, -4.647858718473858]
[0.4904096419412505, -2.511959403422083]
[-0.7908163673681537, -5.086002609827432]
[-1.585854727774011, 1.998972117592328]
[0.34134837715788374, 3.7282959706652794]
[-9.005796353895805, -6.418506928096111]
[-0.5782561851505094, 2.7933352763971198]
[-5.747698506090256, -5.324271221073506]
[-5.596419464811301, -5.019311645807598]
[-0.24176009137782908, 2.6251320014381423]
[-0.5953836495557671, 5.286154640878406]
[-8.059744132724484, -0.19338501659690466]
[-4.619228034549723, -7.474307787288105]
[-0.002002367285818729, -3.4859850905526497]
[-7.114308305771419, -3.571795143360333]
[1.6046994722101864, -0.5774387572439365]
[0.15594069984498565, 2.456029027920477]
[-5.710668944591726, 4.9366935167117125]
[0.40976128350619057, 3.6614459300555393]
[0.3044890318397352, -1.7430847239026368]
[-6.608615500581375, 3.8134325011848436]
[-0.7562096578034603, 0.9390189462301249]
[-6.547364693664819, -4.930761366397472]
[0.024099350396341205, 2.677713291840519]
[-2.46371245106989, -0.03264263534580216]
[1.1434455949148516, -2.890592918607601]
[0.06094117936252483, 1.861842216582436]
[-7.337792553424078, -2.893680029387493]
[-5.041525417052964, 2.7539571329127854]
[-1.748606482818682, -6.069945494280224]
[1.719873449330794, 0.655337593610202]
[-3.651407399793355, 3.6545092896163496]
